"LookupName","ResolvedName","SMILES","CID","MolecularFormula","MonoisotopicMass"
"N-acetylornithine","N-acetylornithine","CC(=O)N[C@@H](CCCN)C(=O)O",439232,"C7H14N2O3",174.1004423
"N-alpha-Acetyl-L-ornithine","N-acetylornithine","CC(=O)N[C@@H](CCCN)C(=O)O",439232,"C7H14N2O3",174.1004423
"Raffinose",NA,"C([C@@H]1[C@@H]([C@@H]([C@H](C(OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O[C@@]3(CO)[C@H]([C@@H]([C@@H](CO)O3)O)O)O)O)O)O1)O)O)O)O",439242,"C18H32O16",504.1690349
"Naringenin",NA,"C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O",439246,"C15H12O5",272.0684735
"Norepinephrine","Norepinephrine","C1=CC(=C(C=C1[C@H](CN)O)O)O",439260,"C8H11NO3",169.0738932
"Noradrenaline","Norepinephrine","C1=CC(=C(C=C1[C@H](CN)O)O)O",439260,"C8H11NO3",169.0738932
"N-Acetyl-D-Mannosamine","N-Acetyl-D-Mannosamine","CC(=O)N[C@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O",439281,"C8H15NO6",221.0899372
"(2S,6S)-2,6-diaminoheptanedioic acid","(2S,6S)-2,6-diaminoheptanedioic acid","C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N",439283,"C7H14N2O4",190.0953569
"14289-34-0","(2S,6S)-2,6-diaminoheptanedioic acid","C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N",439283,"C7H14N2O4",190.0953569
"LL-2,6-DIAMINOHEPTANEDIOATE","(2S,6S)-2,6-diaminoheptanedioic acid","C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N",439283,"C7H14N2O4",190.0953569
"D-Tagatose",NA,"C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O",439312,"C6H12O6",180.0633881
"L-Gulonic acid, gamma-lactone",NA,"C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O",439373,"C6H10O6",178.047738
"N-Methyl-L-glutamic acid","N-Methyl-L-glutamic acid","CN[C@@H](CCC(=O)O)C(=O)O",439377,"C6H11NO4",161.0688078
"N-METHYL-L-GLUTAMATE","N-Methyl-L-glutamic acid","CN[C@@H](CCC(=O)O)C(=O)O",439377,"C6H11NO4",161.0688078
"Theanine","Theanine","CCNC(=O)CC[C@@H](C(=O)O)N",439378,"C7H14N2O3",174.1004423
"O-succinyl-L-homoserine",NA,"C(COC(=O)CCC(=O)O)[C@@H](C(=O)O)N",439406,"C8H13NO6",219.0742871
"7-Dehydrocholesterol","7-Dehydrocholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C",439423,"C27H44O",384.339216
"cholesta-5,7-dien-3beta-ol","7-Dehydrocholesterol","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C",439423,"C27H44O",384.339216
"Stachyose","Stachyose","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O",439531,"C24H42O21",666.2218583
"Stachyose (known structural isomers: 0; isobaric peaks in run: 2)","Stachyose","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O",439531,"C24H42O21",666.2218583
"Palatinose","Palatinose","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H](C(O2)(CO)O)O)O)O)O)O)O",439559,"C12H22O11",342.1162115
"Carvone, (-)-","Carvone, (-)-","CC1=CC[C@H](CC1=O)C(=C)C",439570,"C10H14O",150.1044651
"L-Carvone","Carvone, (-)-","CC1=CC[C@H](CC1=O)C(=C)C",439570,"C10H14O",150.1044651
"Desmosterol",NA,"C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C",439577,"C27H44O",384.339216
"(2R,3R,4S,5S,6R)-2-{[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-{[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy}oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","(2R,3R,4S,5S,6R)-2-{[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-{[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy}oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O",439586,"C18H32O16",504.1690349
"Maltotriose","(2R,3R,4S,5S,6R)-2-{[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-{[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy}oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O",439586,"C18H32O16",504.1690349
"D-Pyroglutamic acid",NA,"C1CC(=O)N[C@H]1C(=O)O",439685,"C5H7NO3",129.0425931
"5-OXO-D-PROLINE",NA,"C1CC(=O)N[C@H]1C(=O)O",439685,"C5H7NO3",129.0425931
"Taurolithocholic Acid","Taurolithocholic Acid","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C",439763,"C26H45NO5S",483.3018447
"Lithocholyltaurine","Taurolithocholic Acid","C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C",439763,"C26H45NO5S",483.3018447
"3-Dehydroshikimic acid","3-Dehydroshikimic acid","C1C(C(C(=O)C=C1C(=O)O)O)O",439774,"C7H8O5",172.0371734
"N-Formyl-L-kynurenine","N-Formyl-L-kynurenine","C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)NC=O",439788,"C11H12N2O4",236.0797069
"Formylkynurenine","N-Formyl-L-kynurenine","C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)NC=O",439788,"C11H12N2O4",236.0797069
"N-acetyl-D-tryptophan","N-acetyl-D-tryptophan","CC(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)O",439917,"C13H14N2O3",246.1004423
"N-Acetyl-D-tryptophan","N-acetyl-D-tryptophan","CC(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)O",439917,"C13H14N2O3",246.1004423
"N(2)-succinyl-L-arginine",NA,"C(CC(C(=O)O)NC(=O)CCC(=O)O)CN=C(N)N",439968,"C10H18N4O5",274.1277197
"N(6),N(6)-Dimethyladenosine","N(6),N(6)-Dimethyladenosine","CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O",440004,"C12H17N5O4",295.128054
"N6,N6-Dimethyladenosine","N(6),N(6)-Dimethyladenosine","CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O",440004,"C12H17N5O4",295.128054
"gamma-Glutamylalanine","gamma-Glutamylalanine","C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N",440103,"C8H14N2O5",218.0902716
"5875-41-2","gamma-Glutamylalanine","C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N",440103,"C8H14N2O5",218.0902716
"N6,N6,N6-Trimethyl-L-lysine","N6,N6,N6-Trimethyl-L-lysine","C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N",440120,"C9H20N2O2",188.1524779
"N,N,N-Trimethyl-lysine; AIF; CE10; MS2Dec","N6,N6,N6-Trimethyl-L-lysine","C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N",440120,"C9H20N2O2",188.1524779
"Trimethyllysine","Trimethyllysine","C[N+](C)(C)CCCC[C@@H](C(=O)O)N",440121,"C9H21N2O2+",189.1603029
"Trimethyllysine M","Trimethyllysine","C[N+](C)(C)CCCC[C@@H](C(=O)O)N",440121,"C9H21N2O2+",189.1603029
"4-[(1R)-2-amino-1-hydroxyethyl]phenol","4-[(1R)-2-amino-1-hydroxyethyl]phenol","C1=CC(=CC=C1[C@H](CN)O)O",440266,"C8H11NO2",153.0789786
"dl-Octopamine","4-[(1R)-2-amino-1-hydroxyethyl]phenol","C1=CC(=CC=C1[C@H](CN)O)O",440266,"C8H11NO2",153.0789786
"(25S)-5beta-spirostan-3beta-yl beta-D-glucoside","(25S)-5beta-spirostan-3beta-yl beta-D-glucoside","C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)C)C)OC1",440454,"C33H54O8",578.3818687
"Asparagoside A","(25S)-5beta-spirostan-3beta-yl beta-D-glucoside","C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)C)C)OC1",440454,"C33H54O8",578.3818687
"2-Hydroxyestrone",NA,"C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=C(C=C34)O)O",440623,"C18H22O3",286.1568946
"Melibiose",NA,"C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O",440658,"C12H22O11",342.1162115
"Cortodoxone","Cortodoxone","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C",440707,"C21H30O4",346.2144094
"REICHSTEIN'S SUBSTANCE S","Cortodoxone","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C",440707,"C21H30O4",346.2144094
"1,4-Dihydro-1-methyl-4-oxo-3-pyridinecarboxamide","1,4-Dihydro-1-methyl-4-oxo-3-pyridinecarboxamide","CN1C=CC(=O)C(=C1)C(=O)N",440810,"C7H8N2O2",152.0585775
"N1-Methyl-4-pyridone-3-carboxamide; AIF; CE0; CorrDec","1,4-Dihydro-1-methyl-4-oxo-3-pyridinecarboxamide","CN1C=CC(=O)C(=C1)C(=O)N",440810,"C7H8N2O2",152.0585775
"(-)-alpha-Pinene",NA,"CC1=CC[C@H]2C[C@@H]1C2(C)C",440968,"C10H16",136.1252005
"Coniine",NA,"CCC[C@H]1CCCCN1",441072,"C8H17N",127.1360995
"Quinidine","Quinidine","COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O",441074,"C20H24N2O2",324.183778
"Conquinine","Quinidine","COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O",441074,"C20H24N2O2",324.183778
"Conessine",NA,"C[C@H]1[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)N(C)C)C)CN1C",441082,"C24H40N2",356.3191493
"Griseofulvin",NA,"C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC",441140,"C17H17ClO6",352.071366
"Rocuronium",NA,"CC(=O)O[C@H]1[C@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@@H]([C@H](C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C",441290,"C32H53N2O4+",529.4005332
"(+)-Epiandrosterone CE45","Epiandrosterone","C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O",441302,"C19H30O2",290.2245802
"Epiandrosterone","Epiandrosterone","C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O",441302,"C19H30O2",290.2245802
"Miglitol",NA,"C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O",441314,"C8H17NO5",207.1106726
"Ipratropium Bromide Monohydrate","Ipratropium Bromide Monohydrate","CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.O.[Br-]",441337,"C20H32BrNO4",429.15147
"Ipratropium bromide monohydrate","Ipratropium Bromide Monohydrate","CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.O.[Br-]",441337,"C20H32BrNO4",429.15147
"beta-Gentiobiose",NA,"C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O)O",441422,"C12H22O11",342.1162115
"Chaulmoogric acid","Chaulmoogric acid","C1C[C@@H](C=C1)CCCCCCCCCCCCC(=O)O",441446,"C18H32O2",280.2402303
"Chaulmoogric Acid","Chaulmoogric acid","C1C[C@@H](C=C1)CCCCCCCCCCCCC(=O)O",441446,"C18H32O2",280.2402303
"Homostachydrine",NA,"C[N+]1(CCCC[C@H]1C(=O)[O-])C",441447,"C8H15NO2",157.1102787
"Dipterocarpol",NA,"CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1CC[C@H]3[C@]2(CC[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)C)C)O)C",441676,"C30H50O2",442.3810808
"Euphol",NA,"C[C@H](CCC=C(C)C)[C@@H]1CC[C@]2([C@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C",441678,"C30H50O",426.3861662
"Lappaconitine",NA,"CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H](C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@]5([C@H]6OC)O)OC)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C",441743,"C32H44N2O8",584.3097664
"(3S,8S,9R,10R,13R,14S,17R)-17-[(2R)-5,6-dihydroxy-6-methylheptan-2-yl]-3-hydroxy-4,4,9,13,14-pentamethyl-1,2,3,7,8,10,12,15,16,17-decahydrocyclopenta[a]phenanthren-11-one","(3S,8S,9R,10R,13R,14S,17R)-17-[(2R)-5,6-dihydroxy-6-methylheptan-2-yl]-3-hydroxy-4,4,9,13,14-pentamethyl-1,2,3,7,8,10,12,15,16,17-decahydrocyclopenta[a]phenanthren-11-one","C[C@H](CCC(C(C)(C)O)O)[C@H]1CC[C@@]2([C@@]1(CC(=O)[C@@]3([C@H]2CC=C4[C@H]3CC[C@@H](C4(C)C)O)C)C)C",441813,"C30H50O4",474.3709101
"Bryodulcosigenin","(3S,8S,9R,10R,13R,14S,17R)-17-[(2R)-5,6-dihydroxy-6-methylheptan-2-yl]-3-hydroxy-4,4,9,13,14-pentamethyl-1,2,3,7,8,10,12,15,16,17-decahydrocyclopenta[a]phenanthren-11-one","C[C@H](CCC(C(C)(C)O)O)[C@H]1CC[C@@]2([C@@]1(CC(=O)[C@@]3([C@H]2CC=C4[C@H]3CC[C@@H](C4(C)C)O)C)C)C",441813,"C30H50O4",474.3709101
"Inokosterone","Inokosterone","C[C@H](CC[C@H]([C@@](C)([C@H]1CC[C@@]2([C@@]1(CC[C@H]3C2=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)C)O)O)O)CO",441828,"C27H44O7",480.3087037
"25R-Inokosterone","Inokosterone","C[C@H](CC[C@H]([C@@](C)([C@H]1CC[C@@]2([C@@]1(CC[C@H]3C2=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)C)O)O)O)CO",441828,"C27H44O7",480.3087037
"Gitogenin",NA,"C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(C[C@H]([C@@H](C6)O)O)C)C)C)OC1",441887,"C27H44O4",432.3239599
"Ruscogenin",NA,"C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5([C@@H](C[C@@H](C6)O)O)C)C)C)OC1",441893,"C27H42O4",430.3083098
"Carnosol",NA,"CC(C)C1=C(C(=C2C(=C1)[C@@H]3C[C@@H]4[C@@]2(CCCC4(C)C)C(=O)O3)O)O",442009,"C20H26O4",330.1831093
"Brucine",NA,"COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC",442021,"C23H26N2O4",394.1892573
"Ingenol",NA,"C[C@@H]1C[C@@H]2[C@@H](C2(C)C)[C@@H]3C=C([C@H]([C@]4([C@@]1(C3=O)C=C([C@@H]4O)C)O)O)CO",442042,"C20H28O5",348.193674
"Isopimaric Acid","Isopimaric Acid","C[C@@]1(CC[C@H]2C(=CC[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)O)C)C1)C=C",442048,"C20H30O2",302.2245802
"Isopimaric acid","Isopimaric Acid","C[C@@]1(CC[C@H]2C(=CC[C@@H]3[C@@]2(CCC[C@@]3(C)C(=O)O)C)C1)C=C",442048,"C20H30O2",302.2245802
"Evodiamine",NA,"CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3",442088,"C19H17N3O",303.1371622
"Armepavine",NA,"CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)OC)OC",442169,"C19H23NO3",313.1677936
"Genipin",NA,"COC(=O)C1=CO[C@H]([C@H]2[C@@H]1CC=C2CO)O",442424,"C11H14O5",226.0841235
"Myosmine",NA,"C1CC(=NC1)C2=CN=CC=C2",442649,"C9H10N2",146.0843983
"7-Methoxy-9,10-dihydrophenanthrene-2,5-diol","7-Methoxy-9,10-dihydrophenanthrene-2,5-diol","COC1=CC2=C(C3=C(CC2)C=C(C=C3)O)C(=C1)O",442702,"C15H14O3",242.0942943
"Lusianthridin","7-Methoxy-9,10-dihydrophenanthrene-2,5-diol","COC1=CC2=C(C3=C(CC2)C=C(C=C3)O)C(=C1)O",442702,"C15H14O3",242.0942943
"Gingerol","Gingerol","CCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O",442793,"C17H26O4",294.1831093
"6-Gingerol","Gingerol","CCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O",442793,"C17H26O4",294.1831093
"Mycosporine","Mycosporine","COC1=C(C[C@](CC1=O)(CO)O)NC(CO)CO",442866,"C11H19NO6",261.1212373
"Mycosporine serinol","Mycosporine","COC1=C(C[C@](CC1=O)(CO)O)NC(CO)CO",442866,"C11H19NO6",261.1212373
"Securinine",NA,"C1CCN2[C@H](C1)[C@]34C[C@H]2C=CC3=CC(=O)O4",442872,"C13H15NO2",217.1102787
"Humulone",NA,"CC(C)CC(=O)C1=C(C(=C([C@@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O",442911,"C21H30O5",362.2093241
"Alpha-Chaconine","Alpha-Chaconine","C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C",442971,"C45H73NO14",851.503106
"alpha-Chaconine","Alpha-Chaconine","C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C",442971,"C45H73NO14",851.503106
"Cyclopamine",NA,"C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1",442972,"C27H41NO2",411.3137296
"Imperialine",NA,"C[C@H]1CC[C@H]2[C@@]([C@@H]3CC[C@@H]4[C@H]([C@@H]3CN2C1)C[C@H]5[C@H]4CC(=O)[C@@H]6[C@@]5(CC[C@@H](C6)O)C)(C)O",442977,"C27H43NO3",429.3242942
"Solasodine","Solasodine","C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1",442985,"C27H43NO2",413.3293796
"Solasodin","Solasodine","C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1",442985,"C27H43NO2",413.3293796
"N-Acetyl-leucyl-leucine","N-Acetyl-leucyl-leucine","CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C",443129,"C14H26N2O4",286.1892573
"2-(2-acetamido-4-methylpentanamido)-4-methylpentanoic acid","N-Acetyl-leucyl-leucine","CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C",443129,"C14H26N2O4",286.1892573
"N-Butyrylhomoserine lactone","N-Butyrylhomoserine lactone","CCCC(=O)NC1CCOC1=O",443433,"C8H13NO3",171.0895433
"C4-homoserine lactone","N-Butyrylhomoserine lactone","CCCC(=O)NC1CCOC1=O",443433,"C8H13NO3",171.0895433
"Butyrylhomoserine","2-(Butylamido)-4-hydroxybutanoic acid","CCCC(=O)NC(CCO)C(=O)O",443436,"C8H15NO4",189.100108
"dopamine-C20:4",NA,"CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCC1=CC(=C(C=C1)O)O",443750,"C28H41NO3",439.3086442
"Ecgonine-methyl-ester (EME)",NA,"CN1C2CCC1[C@H]([C@H](C2)O)C(=O)OC",443844,"C10H17NO3",199.1208434
"Terguride",NA,"CCN(CC)C(=O)N[C@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C",443951,"C20H28N4O",340.2263115
"Pro-Leu",NA,"CC(C)C[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1",444109,"C11H20N2O3",228.1473925
"Methionyl-Leucine","Methionyl-Leucine","CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CCSC)N",444206,"C11H22N2O3S",262.1351137
"Met-Leu","Methionyl-Leucine","CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CCSC)N",444206,"C11H22N2O3S",262.1351137
"7-Ketolithocholic acid","7-Ketolithocholic acid","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)C",444262,"C24H38O4",390.2770097
"3?-Hydroxy-7 Ketolithocholic Acid","7-Ketolithocholic acid","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)C",444262,"C24H38O4",390.2770097
"Val-Arg",NA,"CC(C)[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)N",444523,"C11H23N5O3",273.1800896
"Cinnamic Acid","Cinnamic Acid","C1=CC=C(C=C1)/C=C/C(=O)O",444539,"C9H8O2",148.0524295
"Cinnamic acid","Cinnamic Acid","C1=CC=C(C=C1)/C=C/C(=O)O",444539,"C9H8O2",148.0524295
"trans-Cinnamic acid","Cinnamic Acid","C1=CC=C(C=C1)/C=C/C(=O)O",444539,"C9H8O2",148.0524295
"(E)-3-phenylprop-2-enoic acid","Cinnamic Acid","C1=CC=C(C=C1)/C=C/C(=O)O",444539,"C9H8O2",148.0524295
"Ergosterol","Ergosterol","C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C",444679,"C28H44O",396.339216
"Trichostatin A","Trichostatin A","C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C",444732,"C17H22N2O3",302.1630426
"trichostatin A","Trichostatin A","C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C",444732,"C17H22N2O3",302.1630426
"Tretinoin","Tretinoin","CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C",444795,"C20H28O2",300.2089301
"Retinoic acid","Tretinoin","CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C",444795,"C20H28O2",300.2089301
"Isoleucyl-Proline","Isoleucyl-Proline","CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N",444876,"C11H20N2O3",228.1473925
"Ile-Pro","Isoleucyl-Proline","CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N",444876,"C11H20N2O3",228.1473925
"Arachidonic Acid","Arachidonic Acid","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O",444899,"C20H32O2",304.2402303
"cis-5,8,11,14-Eicosatetraenoic acid","Arachidonic Acid","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O",444899,"C20H32O2",304.2402303
"Fumaric Acid","Fumaric Acid","C(=C/C(=O)O)\C(=O)O",444972,"C4H4O4",116.0109586
"Fumaric acid","Fumaric Acid","C(=C/C(=O)O)\C(=O)O",444972,"C4H4O4",116.0109586
"Desthiobiotin","Desthiobiotin","C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O",445027,"C10H18N2O3",214.1317424
"Dethiobiotin","Desthiobiotin","C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O",445027,"C10H18N2O3",214.1317424
"Retinol",NA,"CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C",445354,"C20H30O",286.2296656
"Docosahexaenoic Acid","Docosahexaenoic Acid","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O",445580,"C22H32O2",328.2402303
